评论内容,毒性评论,普通评论,
辛苦了注意安全?,,1,
辛苦了！外面现在雨真的超级大！注意安全啊！,,1,
感谢?哪里有困难，哪里有子弟兵,,1,
台风好像改道去泉州了,,1,
辛苦了，请平安归来！,,1,
辛苦了，请平安归来！,,1,
每次灾难来临，最让人安心的一句话就是：“解放军来了！”加油！也要注意安全啊,,1,
愿大家都平平安安！,,1,
辛苦了！一定要平安！,,1,
感谢最可爱的人，那一年莫兰蒂军民一起重建家园的画面感动着我们每一位厦门人，希望今年所有的准备备而不用,,1,
感谢人民子弟兵，注意安全！,,1,
请平安归来，所有人都平平安安,,1,
团结就是力量，行动起来一起抗灾?感谢人民子弟兵，一定守护好自己的安全,,1,
紧即关头，人民子弟兵总是冲锋在前,,1,
辛苦了，一定要平安归来！,,1,
辛苦了！感谢人民子弟兵！注意安全！,,1,
支援厦门，没想到要在泉州登陆了,,1,
辛苦了，注意安全,,1,
辛苦了，闽闽挺住！,,1,
辛苦了 注意安全,,1,
愿平安，注意安全,,1,
一定要注意安全,,1,
辛苦了！人民子弟兵总是冲在前面,,1,
看到子弟兵就莫名的安心,,1,
致敬我们最可爱的子弟兵,,1,
子弟兵辛苦啦！请注意安全！,,1,
辛苦了，一定注意安全,,1,
致敬。辛苦了。,,1,
辛苦了，祝平安,,1,
救援官兵能不能来泉州，杜苏芮台风在泉州登陆了,,1,
辛苦了，注意安全,,1,
平安顺利，辛苦啦,,1,
辛苦！注意安全！,,1,
致敬，辛苦了，平安归来,,1,
辛苦了，注意安全?,,1,
人民子弟兵辛苦了！要平安顺利啊！,,1,
辛苦了注意安全?,,1,
辛苦了，请平安归来！,,1,
辛苦啦，大家都要注意安全。,,1,
现在泉厦的风雨特别大，路上小心啊,,1,
辛苦了，注意安全！,,1,
辛苦了，请平安归来,,1,
人民子弟兵辛苦啦，注意安全,,1,
辛苦了！注意安全,,1,
感谢你们人民的子弟兵，致敬！,,1,
平安归来！,,1,
注意安全啊啊啊啊啊啊?,,1,
辛苦了注意安全,,1,
平安归来！！！,,1,
辛苦啦！注意安全！,,1,
辛苦了!!!注意安全,,1,
辛苦了 注意安全啊,,1,
他们叫人民子弟兵,,1,
注意安全！,,1,
辛苦了，平安归来,,1,
去年山火，今年狂风。保佑我华夏大地?,,1,
辛苦了！请平安归来！,,1,
有灾的地方必有人民子弟兵，这是老百姓的运气好，这也是我们制度优势！子弟兵这个名字,,1,
平安归来，辛苦啦,,1,
辛苦了！注意安全 平安归来！,,1,
向人民子弟兵致敬，辛苦了！,,1,
愿永远冲在一线的你们平安归来,,1,
你们辛苦了，向你们致敬。哪里有灾难哪里就有可爱的战士。地震，洪水，泥石流等有危险的地方他们总是冲在最前方。正是有了他们的无私奉献，流血牺牲才保护了百姓的生命财产安全。他们是真正英雄，他们有一个统一的名字:人民子弟兵！！！,,1,
哪里有需要，哪里就有人民解放军！,,1,
保佑战士们平安归来????,,1,
辛苦了注意安全?,,1,
你可以永远相信中国解放军,,1,
安全感拉满了！?,,1,
辛苦了！平安归来?,,1,
你们也是父亲是孩子，在救人的同时千万保护好自己,,1,
平平安安！致敬人民子弟兵！！,,1,
注意安全！,,1,
人民需要的时候，人民子弟兵就会出现！敬礼！向英雄致敬！！向冒着生命危险迎风而上的子弟兵们致以最高的敬礼！,,1,
辛苦了??,,1,
安全感十足！感谢你们最可爱的人,,1,
看到军队的车瞬间泪目，感谢国家对我们闽南地区的支援，一定要注意安全，我们会乖乖躲在家里不添乱。,,1,
辛苦了，注意安全！,,1,
辛苦注意安全,,1,
安全归来???,,1,
人民军队爱人民,,1,
听说台湾受影响也挺大的，要不要顺路过去，看看不能帮上忙。,,1,
所有人都要平平安安的！！,,1,
辛苦了，请平安归来,,1,
大家都要平平安安,,1,
注意安全！！,,1,
我先生正在抗击台风，希望他和兄弟们平安！,,1,
提前做好准备，打有准备的仗,,1,
一定要注意安全辛苦了,,1,
辛苦了，一定一定要注意安全,,1,
现在看路径泉州会不会比较危,,1,
一定要平安,,1,
子弟兵给力！太让厦门人民安心了,,1,
辛苦，注意安全,,1,
每到危险时刻总是人民子弟兵冲在最前面,,1,
注意安全，平平安安。,,1,
请平安归来,,1,
